Method,Precision@10,Recall@10,F1,MRR,nDCG@10,Avg Time (s),Queries Evaluated
TF-IDF,0.07333333333333333,0.6607222222222222,0.13011555111555112,0.4592367724867725,0.5015935214936359,0.011831621666497085,300
BM25,0.07833333333333334,0.7113333333333334,0.13930658230658233,0.5501441798941799,0.5850368672711003,0.010474600000403976,300
Semantic (SBERT+FAISS),0.08933333333333333,0.7901111111111111,0.1579030969030969,0.6177367724867725,0.6556969164934108,0.04749924833328502,300
Hybrid (Cross-Encoder Re-rank),0.092,0.8188888888888889,0.16287046287046286,0.6657566137566138,0.6956754804217349,3.427303317999904,300
